"";"title";"Awards"
"325";"L.A. Confidential";"2"
"326";"As Good as It Gets";"2"
"327";"The Full Monty";"1"
"328";"Men in Black";"1"
"329";"Visas and Virtue";"1"
"330";"Character (Karakter)";"1"
"331";"Geri's Game";"1"
"332";"A Story of Healing";"1"
"333";"The Long Way Home";"1"
"334";"The English Patient";"9"
"335";"Fargo";"2"
"336";"Shine";"1"
"337";"Evita";"1"
"338";"Jerry Maguire";"1"
"339";"Independence Day";"1"
"340";"Emma";"1"
"341";"Sling Blade";"1"
"342";"The Ghost and the Darkness";"1"
"343";"Kolya";"1"
"344";"The Nutty Professor";"1"
"345";"Quest";"1"
"346";"When We Were Kings";"1"
"347";"Breathing Lessons: The Life and Work of Mark O'Brien";"1"
"348";"Dear Diary";"1"
"349";"Braveheart";"5"
"350";"Apollo 13";"2"
"351";"Pocahontas";"2"
"352";"The Usual Suspects";"2"
"353";"Restoration";"2"
"354";"Babe";"1"
"355";"Sense and Sensibility";"1"
"356";"Il Postino: The Postman";"1"
"357";"Dead Man Walking";"1"
"358";"Leaving Las Vegas";"1"
"359";"Mighty Aphrodite";"1"
"360";"Anne Frank Remembered";"1"
"361";"A Close Shave";"1"
"362";"Lieberman in Love";"1"
"363";"One Survivor Remembers";"1"
"364";"Antonia's Line (Antonia)";"1"
"365";"Toy Story";"0 (1)"
"366";"Forrest Gump";"6"
"367";"The Lion King";"2"
"368";"Speed";"2"
"369";"Ed Wood";"2"
"370";"Pulp Fiction";"1"
"371";"Bullets over Broadway";"1"
"372";"The Madness of King George";"1"
"373";"Legends of the Fall";"1"
"374";"A Time for Justice";"1"
"375";"Franz Kafka's It's a Wonderful Life";"1"
"376";"Maya Lin: A Strong Clear Vision";"1"
"377";"Burnt by the Sun (Utomlyonnye solntsem)";"1"
"378";"Trevor";"1"
"379";"The Adventures of Priscilla, Queen of the Desert";"1"
"380";"Bob's Birthday";"1"
"381";"Blue Sky";"1"
"382";"Schindler's List";"7"
"383";"The Piano";"3"
"384";"Jurassic Park";"3"
"385";"Philadelphia";"2"
"386";"The Fugitive";"1"
"387";"The Age of Innocence";"1"
"388";"The Wrong Trousers";"1"
"389";"Belle Epoque (The Beautiful Era)";"1"
"390";"I Am a Promise: The Children of Stanton Elementary School";"1"
"391";"Mrs. Doubtfire";"1"
"392";"Black Rider (Schwarzfahrer)";"1"
"393";"Defending Our Lives";"1"
"394";"Unforgiven";"4"
"395";"Howards End";"3"
"396";"Bram Stoker's Dracula";"3"
